Position,Change,Artist and Title,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
146,+7,SZA - Snooze,807,25,,1308138,"-39,146",9489793,"-79,633",1436740713
147,-7,The Killers - Mr. Brightside,1362,59,,1306168,"-69,235",9061031,"+32,294",1142270019
148,=,Oscar Maydon - Tu Boda (w/ Fuerza Regida),214,4,,1304616,"-55,021",8944833,"-15,108",568694685
149,+19,Lana Del Rey - Summertime Sadness,860,74,,1301178,"+6,422",9010290,"+61,302",1122536354
150,+37,Neton Vega - Chiquita (w/ Tito Double P),26,139,,1300513,"+65,135",8760111,"-12,525",31779848
151,+1,Billie Eilish - CHIHIRO,350,3,(x1),1298275,"-49,833",9589063,"-76,421",788514248
152,-27,"HUGEL - I Adore You (w/ Topic, Arash, Daecolm)",19,125,,1297506,"-134,046",6511403,"+91,802",24388145
153,-17,"WizTheMc - Show Me Love (w/ bees & honey, Tyla)",5,136,,1296490,"-89,018",6547963,"+1,296,490",6547963
154,+10,Bruno Mars - Locked out of Heaven,1283,21,,1290147,"-15,921",10637232,"-472,621",1581123061
155,-10,Alex Warren - Carry You Home,86,85,,1288349,"-77,094",3979317,"+1,288,349",115860961
156,-18,Nirvana - Smells Like Teen Spirit - Remastered,409,98,,1284120,"-98,917",9122141,"-17,662",392292496
157,+5,Bad Bunny - KLOuFRENS,119,18,,1272792,"-37,682",8895859,"-90,547",233815822
158,+24,Afusic - Pal Pal (w/ AliSoomroMusic),18,128,,1270696,"+24,960",8676269,"+14,588",22413839
159,+13,V - Winter Ahead (w/ Park Hyo Shin),156,15,,1269200,"-3,894",8652199,"+19,015",276680258
160,-16,Ed Sheeran - Photograph,2038,13,,1267850,"-102,100",9255689,"+38,691",1479673345
161,-5,Kendrick Lamar - Money Trees (w/ Jay Rock),480,31,,1266271,"-68,819",8965995,"+29,309",613572972
162,+13,Maroon 5 - Payphone (w/ Wiz Khalifa),431,63,,1256377,"-10,981",7547995,"+110,371",403843332
163,-28,"Gracie Abrams - I Love You, I'm Sorry",278,15,,1255207,"-130,630",10191792,"-95,802",598542602
164,+7,a-ha - Take on Me,442,36,,1252155,"-27,786",3738805,"+1,252,155",596232635
165,+5,Tyla - PUSH 2 START,103,52,,1248486,"-38,484",7436817,"-2,994",161351935
166,-57,Pashanim - Shabab(e)s im VIP (w/ Ceren),2,109,,1247860,"-259,904",2755624,"+1,247,860",2755624
167,+28,French Montana - Unforgettable (w/ Swae Lee),861,3,(x8),1238343,"+21,706",6093172,"+1,238,343",1302298586
168,-41,Jessie Murph - Blue Strips,6,127,,1237359,"-190,716",7649003,"+1,237,359",7649003
169,NEW,Empire Of The Sun - Walking On A Dream,1,169,,1236752,,1236752,"+1,236,752",1236752
170,-19,JENNIE - ExtraL (w/ Doechii),72,18,,1234543,"-114,811",8568600,"+20,817",135557681
171,-4,Feid - LUNA (w/ ATL Jacob),515,7,,1234103,"-60,743",7508359,"-101,506",1246697470
172,-3,Rauw Alejandro - Khé? (w/ Romeo Santos),170,21,,1229355,"-61,870",8866329,"-133,381",365895778
173,+1,J Balvin - LA CANCIÓN (w/ Bad Bunny),808,16,,1220170,"-48,769",6264475,"-54,207",993746551
174,+11,Shakira - Hips Don't Lie (w/ Wyclef Jean),201,63,,1218957,"-22,800",8287467,"-25,133",269456923
175,-12,Guns N' Roses - Sweet Child O' Mine,166,94,,1216289,"-92,150",7256089,"+10,338",160878131
176,-22,Ariana Grande - twilight zone,37,3,(x1),1215766,"-129,376",9690645,"-224,521",86254242
177,RE,Tito Double P - DOS DÍAS (w/ Peso Pluma),244,24,,1211895,,6249305,"-175,865",471142451
178,RE,Victor Valverde - El Mayor De Los Ranas (w/ JR Torres),66,88,,1203791,,3550723,"-124,659",91665914
179,+14,"Drake - One Dance (w/ Wizkid, Kyla)",1825,1,(x101),1202464,"-22,743",4708643,"+1,202,464",2651780692
180,-7,Chase Atlantic - Swim,210,46,,1201217,"-70,853",8846361,"-44,881",305210739
181,-35,Lorde - Ribs,6,136,,1200290,"-164,175",6318836,"-129,065",7648191
182,-16,Avicii - Wake Me Up,1123,4,,1196666,"-99,511",5009107,"+50,499",811645983
183,RE,Tears For Fears - Everybody Wants To Rule The World,782,80,,1196390,,5916221,"+3,060",974803409
184,RE,TOTO - Africa,592,113,,1196157,,1196157,"+1,196,157",461933803
185,-1,Malcolm Todd - Chest Pain (I Love),27,53,,1193518,"-48,342",3608417,"+1,193,518",39406930
186,-6,Leon Thomas - MUTT,29,106,,1191684,"-59,666",8650521,"-137,603",37459278
187,-22,j-hope - MONA LISA,44,12,,1191347,"-112,749",8757816,"-96,579",82089909
